Time,Source,Destination,Length,Protocol,TTL,Source Port,Destination Port,TCP Flags,Info,Time Delta
0.4868104805084566,192.168.1.10,192.168.1.20,1166,1,95,26682,36797,SYN,ICMP Echo Request,0.0
0.50290556650228,192.168.1.10,192.168.1.20,1499,1,91,19966,54834,SYN,ICMP Echo Request,0.01609508599382342
0.7654318173976578,192.168.1.10,192.168.1.20,900,6,52,58025,2923,SYN,TCP Port 58025 > 2923 [Data],0.26252625089537773
1.0412188716234803,192.168.1.10,192.168.1.20,1334,1,64,19455,57910,SYN,ICMP Echo Request,0.2757870542258225
2.1909040121114147,192.168.1.10,192.168.1.20,1170,17,107,3771,2291,SYN,UDP Port 3771 > 2291 [Request],1.1496851404879345
3.1325039822184286,192.168.1.10,192.168.1.20,1135,6,89,59343,32575,RST,TCP Port 59343 > 32575 [Data],0.9415999701070139
4.923433266562322,192.168.1.10,192.168.1.20,1084,17,53,60174,51704,SYN,UDP Port 60174 > 51704 [Request],1.790929284343893
5.113824883079071,192.168.1.10,192.168.1.20,161,17,120,1213,12418,SYN,UDP Port 1213 > 12418 [Request],0.19039161651674963
5.6098614191284355,192.168.1.10,192.168.1.20,506,17,80,65469,4580,SYN,UDP Port 65469 > 4580 [Request],0.49603653604936415
5.811043019043231,192.168.1.10,192.168.1.20,1278,17,122,20142,4914,SYN,UDP Port 20142 > 4914 [Request],0.20118159991479523
0.7439278308608545,192.168.1.10,192.168.1.20,2000,6,5,61287,60759,RST,TCP Port 61287 > 60759 [Data],-5.067115188182377
1.3094648976411911,192.168.1.10,192.168.1.20,3000,1,5,17047,63979,SYN,ICMP Echo Request,0.5655370667803367
1.6536878901951326,192.168.1.10,192.168.1.20,2000,17,250,42114,57125,SYN,UDP Port 42114 > 57125 [Request],0.3442229925539415
2.600058764094931,192.168.1.10,192.168.1.20,2000,1,5,2709,3457,SYN,ICMP Echo Request,0.9463708738997985
2.7502932928222696,192.168.1.10,192.168.1.20,3000,1,250,1793,6335,SYN,ICMP Echo Request,0.15023452872733856
